ID NODO | ID WAY | Nombre | latitud | longitud 
1111132257 | 40012229 | Subida al Cerro | -32.8851444 | -68.8904942
1111132375 | 40012229 | Subida al Cerro | -32.885258 | -68.8906685
1111132286 | 40012229 | Subida al Cerro | -32.8857956 | -68.8912275
1111132224 | 40012229 | Subida al Cerro | -32.8873281 | -68.8927424
1111132305 | 40012229 | Subida al Cerro | -32.8875521 | -68.8931029
1111132247 | 40012229 | Subida al Cerro | -32.8876379 | -68.8934005
1111132235 | 40012229 | Subida al Cerro | -32.8877339 | -68.893704
1111132394 | 40012229 | Subida al Cerro | -32.8878701 | -68.8939505
1111132259 | 40012229 | Subida al Cerro | -32.8881023 | -68.8941939
1111132204 | 40012229 | Subida al Cerro | -32.88909 | -68.894888
1111132328 | 40012229 | Subida al Cerro | -32.889225 | -68.8950811
1111132226 | 40012229 | Subida al Cerro | -32.8894094 | -68.8952417
1111132352 | 40012229 | Subida al Cerro | -32.8898855 | -68.8956002
1111132271 | 40012229 | Subida al Cerro | -32.8900094 | -68.89574759999999
1768613020 | 40012229 | Subida al Cerro | -32.8901062 | -68.8958683
3120954325 | 40012229 | Subida al Cerro | -32.8902363 | -68.8959044
1111132289 | 40012229 | Subida al Cerro | -32.8903413 | -68.8958481
1111132238 | 40012229 | Subida al Cerro | -32.8903851 | -68.895678
3120954327 | 40012229 | Subida al Cerro | -32.8903564 | -68.8956146
1111132334 | 40012229 | Subida al Cerro | -32.8902955 | -68.8954802
1111132250 | 40012229 | Subida al Cerro | -32.8900658 | -68.8953074
3120954324 | 40012229 | Subida al Cerro | -32.8899796 | -68.8951756
1111132274 | 40012229 | Subida al Cerro | -32.8899579 | -68.8950422
1111132229 | 40012229 | Subida al Cerro | -32.890026399999996 | -68.8948741
1111132218 | 40012229 | Subida al Cerro | -32.8900794 | -68.894808
1111132360 | 40012229 | Subida al Cerro | -32.8907433 | -68.8943188
1111132241 | 40012229 | Subida al Cerro | -32.8908115 | -68.8942106
1111132198 | 40012229 | Subida al Cerro | -32.8908039 | -68.8941024
1111132380 | 40012229 | Subida al Cerro | -32.890761 | -68.8940153
1111132292 | 40012229 | Subida al Cerro | -32.8907004 | -68.8939491
1111132316 | 40012229 | Subida al Cerro | -32.890164 | -68.893797
1111132277 | 40012229 | Subida al Cerro | -32.8892111 | -68.8938806
1111132221 | 40012229 | Subida al Cerro | -32.8889629 | -68.8937791
1111132299 | 40012229 | Subida al Cerro | -32.8887837 | -68.8936709
1111132244 | 40012229 | Subida al Cerro | -32.8886298 | -68.8935507
1111132232 | 40012229 | Subida al Cerro | -32.8885369 | -68.8934276
1111132390 | 40012229 | Subida al Cerro | -32.8884309 | -68.8931662
1111132255 | 40012229 | Subida al Cerro | -32.8883526 | -68.8927935
1111132212 | 40012229 | Subida al Cerro | -32.8882719 | -68.8926192
1111132201 | 40012229 | Subida al Cerro | -32.8882012 | -68.892517
1111132320 | 40012229 | Subida al Cerro | -32.8881482 | -68.8924418
1111132223 | 40012229 | Subida al Cerro | -32.8880952 | -68.8923336
1111132368 | 40012229 | Subida al Cerro | -32.8880959 | -68.8921604
1111132345 | 40012229 | Subida al Cerro | -32.8881659 | -68.8920842
1111132267 | 40012229 | Subida al Cerro | -32.8881962 | -68.8919429
1111132393 | 40012229 | Subida al Cerro | -32.8881987 | -68.8918257
1111132303 | 40012229 | Subida al Cerro | -32.8880978 | -68.8916453
1111132234 | 40012229 | Subida al Cerro | -32.8879129 | -68.8915525
1111132327 | 40012229 | Subida al Cerro | -32.8877316 | -68.8915077
1111132258 | 40012229 | Subida al Cerro | -32.8874728 | -68.89152
1111132246 | 40012229 | Subida al Cerro | -32.8873608 | -68.8914681
1111132203 | 40012229 | Subida al Cerro | -32.8872876 | -68.8913448
